topicID	numTokensOfTopic	topicInAuthor	authorInTopic	author
23	11229	0.030854	0.003822	Burroughs, Edgar Rice
10	10472	0.028774	0.004918	Burroughs, Edgar Rice
36	10267	0.028211	0.005950	Burroughs, Edgar Rice
17	8907	0.024474	0.003731	Burroughs, Edgar Rice
7	8645	0.023754	0.004997	Burroughs, Edgar Rice
65	8047	0.022111	0.002944	Burroughs, Edgar Rice
18	7995	0.021968	0.004502	Burroughs, Edgar Rice
28	7603	0.020891	0.001509	Burroughs, Edgar Rice
50	7245	0.019907	0.004364	Burroughs, Edgar Rice
25	7023	0.019297	0.002684	Burroughs, Edgar Rice
29	6910	0.018987	0.004550	Burroughs, Edgar Rice
41	6756	0.018563	0.002474	Burroughs, Edgar Rice
48	6501	0.017863	0.002513	Burroughs, Edgar Rice
0	6082	0.016712	0.003499	Burroughs, Edgar Rice
9	6077	0.016698	0.005120	Burroughs, Edgar Rice
73	5960	0.016376	0.002738	Burroughs, Edgar Rice
15	5174	0.014217	0.004512	Burroughs, Edgar Rice
45	4362	0.011985	0.004436	Burroughs, Edgar Rice
3	3892	0.010694	0.003788	Burroughs, Edgar Rice
68	3734	0.010260	0.002539	Burroughs, Edgar Rice
14	3386	0.009304	0.007775	Burroughs, Edgar Rice
44	3148	0.008650	0.001986	Burroughs, Edgar Rice
13	3142	0.008633	0.004768	Burroughs, Edgar Rice
61	2780	0.007639	0.002746	Burroughs, Edgar Rice
69	2415	0.006636	0.003081	Burroughs, Edgar Rice
57	2199	0.006042	0.002208	Burroughs, Edgar Rice
2	1962	0.005391	0.002356	Burroughs, Edgar Rice
40	1853	0.005091	0.001189	Burroughs, Edgar Rice
26	1547	0.004251	0.001519	Burroughs, Edgar Rice
54	1536	0.004220	0.002014	Burroughs, Edgar Rice
72	1484	0.004078	0.004573	Burroughs, Edgar Rice
5	996	0.002737	0.002125	Burroughs, Edgar Rice
51	900	0.002473	0.000958	Burroughs, Edgar Rice
27	648	0.001781	0.000754	Burroughs, Edgar Rice
30	625	0.001717	0.000927	Burroughs, Edgar Rice
4	607	0.001668	0.000751	Burroughs, Edgar Rice
37	583	0.001602	0.002105	Burroughs, Edgar Rice
46	477	0.001311	0.000720	Burroughs, Edgar Rice
38	471	0.001294	0.000815	Burroughs, Edgar Rice
62	375	0.001030	0.000920	Burroughs, Edgar Rice
42	303	0.000833	0.000818	Burroughs, Edgar Rice
34	271	0.000745	0.000535	Burroughs, Edgar Rice
16	233	0.000640	0.000314	Burroughs, Edgar Rice
31	213	0.000585	0.000772	Burroughs, Edgar Rice
12	212	0.000583	0.000379	Burroughs, Edgar Rice
22	174	0.000478	0.000548	Burroughs, Edgar Rice
56	172	0.000473	0.000776	Burroughs, Edgar Rice
60	160	0.000440	0.000302	Burroughs, Edgar Rice
43	156	0.000429	0.001051	Burroughs, Edgar Rice
63	148	0.000407	0.000496	Burroughs, Edgar Rice
8	148	0.000407	0.000274	Burroughs, Edgar Rice
58	145	0.000398	0.000227	Burroughs, Edgar Rice
