topicID	numTokens	proportionOfTopic	proportionOfWord	word
41	15456	0.005661	0.195769	feet
41	13983	0.005121	0.210176	reached
41	13513	0.004949	0.239084	arm
41	13261	0.004857	0.230626	forward
41	12340	0.004519	0.109826	between
41	12300	0.004505	0.105012	behind
41	12195	0.004466	0.121404	toward
41	12184	0.004462	0.162605	held
41	11614	0.004253	0.104414	across
41	11502	0.004212	0.115738	both
41	11493	0.004209	0.174905	moved
41	11392	0.004172	0.219668	arms
41	11369	0.004164	0.128058	end
41	11248	0.004119	0.256804	shoulder
41	11029	0.004039	0.166702	wall
41	10593	0.003880	0.109602	began
41	10476	0.003837	0.239014	edge
57	16491	0.016561	0.465453	food
57	12954	0.013009	0.596959	drink
57	12305	0.012357	0.288714	table
57	12031	0.012082	0.574546	eat
57	7751	0.007784	0.604131	coffee
57	7491	0.007523	0.108142	water
57	7035	0.007065	0.685005	eating
57	6854	0.006883	0.668031	ate
57	6704	0.006732	0.770575	wine
57	6486	0.006513	0.205774	glass
57	6069	0.006095	0.711489	meal
57	5924	0.005949	0.074069	sat
57	5624	0.005648	0.681697	cup
57	5589	0.005613	0.726788	drank
57	5566	0.005589	0.537778	meat
57	4963	0.004984	0.392642	dinner
57	4903	0.004924	0.889837	bread
57	4844	0.004864	0.185665	hot
57	4656	0.004676	0.486013	hungry
57	4597	0.004616	0.553189	bottle
22	2945	0.009269	0.215278	mike
22	2764	0.008700	0.621124	jubal
22	2451	0.007714	0.163291	mars
22	2402	0.007560	0.521041	jill
22	2389	0.007519	0.281059	boss
22	2185	0.006877	0.083365	answered
22	2143	0.006745	0.550900	jim
22	2092	0.006584	0.225674	martian
22	2081	0.006550	0.501446	complain
22	1986	0.006251	0.089098	dear
22	1656	0.005212	0.151510	huh
22	1612	0.005074	0.525081	ben
22	1597	0.005026	0.253090	frank
22	1595	0.005020	0.256844	smith
22	1490	0.004690	1.000000	grok
22	1374	0.004325	0.019835	water
22	1307	0.004114	0.033393	captain
22	1271	0.004000	0.638693	willis
22	1247	0.003925	0.407516	friday
22	1183	0.003723	0.058622	doctor
2	10522	0.012633	0.228640	read
2	9470	0.011370	0.348418	book
2	6344	0.007617	0.286929	books
2	6026	0.007235	0.209600	history
2	5573	0.006691	0.388092	written
2	5213	0.006259	0.184075	story
2	5093	0.006115	0.487835	writing
2	4771	0.005728	0.407082	write
2	4556	0.005470	0.287990	reading
2	3922	0.004709	0.199796	science
2	3699	0.004441	0.452754	wrote
2	3663	0.004398	0.407906	university
2	3579	0.004297	0.033524	work
2	3529	0.004237	0.028839	world
2	3468	0.004164	0.619286	pages
2	3276	0.003933	0.361589	professor
2	2942	0.003532	0.478374	page
2	2794	0.003355	0.148934	paper
2	2744	0.003295	0.250594	art
